Ag,Al,La,Phase,,,,,,,,,
0,50,50,AM,,,,,,,,,
0,55,45,AM,,,,,,,,,
0,60,40,AM,,,,,,,,,
0,73,27,AM,,,,,,,,,
0,75,25,AM,,,,,,,,,
5,50,45,AM,,,,,,,,,
5,55,40,AM,,,,,,,,,
5,60,35,AM,,,,,,,,,
10,30,60,AM,,,,,,,,,
10,35,55,AM,,,,,,,,,
10,50,40,AM,,,,,,,,,
10,60,30,AM,,,,,,,,,
15,25,60,AM,,,,,,,,,
15,30,55,AM,,,,,,,,,
15,35,50,AM,,,,,,,,,
15,40,45,AM,,,,,,,,,
15,50,35,AM,,,,,,,,,
15,60,25,AM,,,,,,,,,
20,30,50,AM,,,,,,,,,
20,35,45,AM,,,,,,,,,
20,50,30,AM,,,,,,,,,
20,60,20,AM,,,,,,,,,
25,35,40,AM,,,,,,,,,
25,50,25,AM,,,,,,,,,
25,55,20,AM,,,,,,,,,
30,50,20,AM,,,,,,,,,
35,50,15,AM,,,,,,,,,
40,50,10,AM,,,,,,,,,
50,40,10,AM,,,,,,,,,
50,45,5,AM,,,,,,,,,
55,40,5,AM,,,,,,,,,
0,30,70,AC,,,,,,,,,
0,80,20,AC,,,,,,,,,
10,70,20,AC,,,,,,,,,
20,20,60,AC,,,,,,,,,
25,25,50,AC,,,,,,,,,
25,30,45,AC,,,,,,,,,
30,20,50,AC,,,,,,,,,
30,30,40,AC,,,,,,,,,
30,40,30,AC,,,,,,,,,
35,40,25,AC,,,,,,,,,
35,45,20,AC,,,,,,,,,
40,30,30,AC,,,,,,,,,
40,40,20,AC,,,,,,,,,
45,35,20,AC,,,,,,,,,
45,40,15,AC,,,,,,,,,
55,35,10,AC,,,,,,,,,
60,35,5,AC,,,,,,,,,
0,10,90,CR,,,,,,,,,
0,20,80,CR,,,,,,,,,
10,0,90,CR,,,,,,,,,
10,10,80,CR,,,,,,,,,
10,20,70,CR,,,,,,,,,
20,0,80,CR,,,,,,,,,
20,10,70,CR,,,,,,,,,
20,70,10,CR,,,,,,,,,
25,0,75,CR,,,,,,,,,
25,5,70,CR,,,,,,,,,
30,0,70,CR,,,,,,,,,
30,10,60,CR,,,,,,,,,
35,0,65,CR,,,,,,,,,
35,5,60,CR,,,,,,,,,
40,0,60,CR,,,,,,,,,
40,10,50,CR,,,,,,,,,
40,20,40,CR,,,,,,,,,
40,60,0,CR,,,,,,,,,
45,0,55,CR,,,,,,,,,
45,5,50,CR,,,,,,,,,
45,10,45,CR,,,,,,,,,
45,20,35,CR,,,,,,,,,
50,5,45,CR,,,,,,,,,
50,10,40,CR,,,,,,,,,
50,20,30,CR,,,,,,,,,
50,30,20,CR,,,,,,,,,
50,50,0,CR,,,,,,,,,
55,0,45,CR,,,,,,,,,
55,10,35,CR,,,,,,,,,
60,0,40,CR,,,,,,,,,
60,5,35,CR,,,,,,,,,
60,10,30,CR,,,,,,,,,
60,20,20,CR,,,,,,,,,
60,40,0,CR,,,,,,,,,
65,0,35,CR,,,,,,,,,
70,0,30,CR,,,,,,,,,
70,10,20,CR,,,,,,,,,
70,30,0,CR,,,,,,,,,
80,0,20,CR,,,,,,,,,
5,47.5,47.5,AM,,,,,,,,,
10,45,45,AM,,,,,,,,,
5,38,57,AM,,,,,,,,,
15,34,51,AM,,,,,,,,,
20,32,48,AM,,,,,,,,,
10,25,65,AM,,,,,,,,,
69.6,29.6,0.8,OT,,,,,,,,,
Al,Cu,V,Phase,,,,,,,,,
55,35,10,AM,,,,,,,,,
60,30,10,AM,,,,,,,,,
65,20,15,AM,,,,,,,,,
65,25,10,AM,,,,,,,,,
65,30,5,AM,,,,,,,,,
67,20,13,AM,,,,,,,,,
70,20,10,AM,,,,,,,,,
75,15,10,AM,,,,,,,,,
75,20,5,AM,,,,,,,,,
80,10,10,AM,,,,,,,,,
80,15,5,AM,,,,,,,,,
85,5,10,AM,,,,,,,,,
60,35,5,AC,,,,,,,,,
65,20,15,AC,,,,,,,,,
70,25,5,AC,,,,,,,,,
75,10,15,AC,,,,,,,,,
80,5,15,AC,,,,,,,,,
87,5,8,AC,,,,,,,,,
50,40,10,CR,,,,,,,,,
60,25,15,CR,,,,,,,,,
65,15,20,CR,,,,,,,,,
75,25,0,CR,,,,,,,,,
77,20,3,CR,,,,,,,,,
80,20,0,CR,,,,,,,,,
87,8,5,CR,,,,,,,,,
Al,Cu,Y,Phase,,,,,,,,,
0,40,60,AM,,,,,,,,,
5,38,57,AM,,,,,,,,,
10,36,54,AM,,,,,,,,,
15,34,51,AM,,,,,,,,,
20,32,48,AM,,,,,,,,,
30,28,42,AM,,,,,,,,,
80,8,12,AM,,,,,,,,,
85,6,9,AM,,,,,,,,,
Al,Cu,Zr,Phase,,,,,,,,,
0,40,60,AM,,,,,,,,,
0,56,44,AM,,,,,,,,,
0,60,40,AM,,,,,,,,,
20,25,55,AM,,,,,,,,,
15,25,60,AM,,,,,,,,,
10,25,65,AM,,,,,,,,,
7.5,27.5,65,AM,,,,,,,,,
0,33,67,AM,,,,,,,,,
5,30,65,AM,,,,,,,,,
15,20,65,AM,,,,,,,,,
20,15,65,AM,,,,,,,,,
69.6,29.6,0.8,OT,,,,,,,,,
Al,Fe,Gd,Phase,,,,,,,,,
80,10,10,AM,,,,,,,,,
81.8,9.1,9.1,AM,,,,,,,,,
83.6,8.2,8.2,AM,,,,,,,,,
85.4,7.3,7.3,AM,,,,,,,,,
87.2,6.4,6.4,AM,,,,,,,,,
89,5.5,5.5,AM,,,,,,,,,
33.4,33.3,33.3,AM,,,,,,,,,
Al,Fe,Ge,Phase,,,,,,,,,
42,10,48,AM,,,,,,,,,
52,23,25,AM,,,,,,,,,
69,6,25,AM,,,,,,,,,
Al,Fe,La,Phase,,,,,,,,,
25,20,55,AM,,,,,,,,,
Al,Fe,Ni,Phase,,,,,,,,,
75,14,11,AM,,,,,,,,,
87,1,12,AM,,,,,,,,,
88,3,9,AM,,,,,,,,,
82,4,14,AC,,,,,,,,,
84,2,14,AC,,,,,,,,,
86,0,14,AC,,,,,,,,,
86,1,13,AC,,,,,,,,,
86,2,12,AC,,,,,,,,,
86,5,9,AC,,,,,,,,,
86,8,6,AC,,,,,,,,,
87,1,12,AC,,,,,,,,,
87,4,9,AC,,,,,,,,,
87,5,8,AC,,,,,,,,,
88,0,12,AC,,,,,,,,,
88,1,11,AC,,,,,,,,,
88,2,10,AC,,,,,,,,,
88,4,8,AC,,,,,,,,,
88,5,7,AC,,,,,,,,,
88,6,6,AC,,,,,,,,,
88,8,4,AC,,,,,,,,,
88,10,2,AC,,,,,,,,,
88,12,0,AC,,,,,,,,,
89,1,10,AC,,,,,,,,,
89,2,9,AC,,,,,,,,,
89,3,8,AC,,,,,,,,,
89,5,6,AC,,,,,,,,,
90,0,10,AC,,,,,,,,,
90,2,8,AC,,,,,,,,,
90,4,6,AC,,,,,,,,,
90,5,5,AC,,,,,,,,,
90,6,4,AC,,,,,,,,,
90,8,2,AC,,,,,,,,,
90,10,0,AC,,,,,,,,,
92,0,8,AC,,,,,,,,,
92,2,6,AC,,,,,,,,,
92,4,4,AC,,,,,,,,,
92,6,2,AC,,,,,,,,,
92,8,0,AC,,,,,,,,,
94,6,0,AC,,,,,,,,,
94,0,6,CR,,,,,,,,,
94,2,4,CR,,,,,,,,,
94,4,2,CR,,,,,,,,,
96,0,4,CR,,,,,,,,,
96,2,2,CR,,,,,,,,,
96,4,0,CR,,,,,,,,,
98,0,2,CR,,,,,,,,,
98,2,0,CR,,,,,,,,,
86,2,12,AM,,,,,,,,,
86,3,11,AM,,,,,,,,,
86.7,1,12.3,AM,,,,,,,,,
87,2,11,AM,,,,,,,,,
87,3,10,AM,,,,,,,,,
87.5,0.5,12,AM,,,,,,,,,
87.5,2,10.5,AM,,,,,,,,,
87.5,3.5,9,AM,,,,,,,,,
88,1,11,AM,,,,,,,,,
88.5,3,8.5,AM,,,,,,,,,
83,3,14,AC,,,,,,,,,
84,3,13,AC,,,,,,,,,
84,4,12,AC,,,,,,,,,
85,1,14,AC,,,,,,,,,
85,2,13,AC,,,,,,,,,
85,3,12,AC,,,,,,,,,
85,5,10,AC,,,,,,,,,
86,3,11,AC,,,,,,,,,
86,4,10,AC,,,,,,,,,
86,7,7,AC,,,,,,,,,
87,6,7,AC,,,,,,,,,
89,4,7,AC,,,,,,,,,
89,6,5,AC,,,,,,,,,
89,7,4,AC,,,,,,,,,
89,9,2,AC,,,,,,,,,
90,1,9,AC,,,,,,,,,
91,1,8,AC,,,,,,,,,
91,2,7,AC,,,,,,,,,
91,3,6,AC,,,,,,,,,
91,6,3,AC,,,,,,,,,
92,5,3,AC,,,,,,,,,
1,0,0,CR,,,,,,,,,
82,4,14,OT,,,,,,,,,
84,4,12,OT,,,,,,,,,
84,6,10,OT,,,,,,,,,
84,8,8,OT,,,,,,,,,
86,6,8,OT,,,,,,,,,
86,8,6,OT,,,,,,,,,
86,10,4,OT,,,,,,,,,
86,12,2,OT,,,,,,,,,
88,10,2,OT,,,,,,,,,
88,12,0,OT,,,,,,,,,
70,14,16,AM,,,,,,,,,
70,15,15,AM,,,,,,,,,
70,16,14,AM,,,,,,,,,
70,20,10,AM,,,,,,,,,
72,14,14,AM,,,,,,,,,
79,7,14,AM,,,,,,,,,
82,15,3,AM,,,,,,,,,
84,8,8,AM,,,,,,,,,
72,13,15,AC,,,,,,,,,
57,27,16,CR,,,,,,,,,
65,15,20,CR,,,,,,,,,
65,21,14,CR,,,,,,,,,
67,21,12,CR,,,,,,,,,
75,0,25,OT,,,,,,,,,
75,2.5,22.5,OT,,,,,,,,,
75,6.25,18.75,OT,,,,,,,,,
75,10,15,OT,,,,,,,,,
75,12.5,12.5,OT,,,,,,,,,
75,16.75,8.25,OT,,,,,,,,,
75,20,5,OT,,,,,,,,,
75,22.5,2.5,OT,,,,,,,,,
75,25,0,OT,,,,,,,,,
Al,Fe,Tb,Phase,,,,,,,,,
2.5,65,32.5,AM ,,,,,,,,,
7.5,61.7,30.8,AM,,,,,,,,,
0,66.7,33.3,CR,,,,,,,,,
15,56.7,28.3,CR,,,,,,,,,
Al,Fe,Zr,Phase,,,,,,,,,
0,90,10,AM,,,,,,,,,
0.018,89.982,10,AM,,,,,,,,,
0.036,89.964,10,AM,,,,,,,,,
0.054,89.946,10,AM,,,,,,,,,
0.09,89.91,10,AM,,,,,,,,,
22.5,67.5,10,AM,,,,,,,,,
15,15,70,AM,,,,,,,,,
Al,Ga,Mg,Phase,,,,,,,,,
8,16,76,AM,,,,,,,,,
12,12,76,AM,,,,,,,,,
18,36,46,AM,,,,,,,,,
8,2,90,CR,,,,,,,,,
8,3,89,CR,,,,,,,,,
9,2,89,CR,,,,,,,,,
Al,Gd,Ni,Phase,,,,,,,,,
65,15,20,AM,,,,,,,,,
70,10,20,AM,,,,,,,,,
70,15,15,AM,,,,,,,,,
74,10,16,AM,,,,,,,,,
75,10,15,AM,,,,,,,,,
78,12,10,AM,,,,,,,,,
80,5,15,AM,,,,,,,,,
80,10,10,AM,,,,,,,,,
81,9,10,AM,,,,,,,,,
83,5,12,AM,,,,,,,,,
83,7,10,AM,,,,,,,,,
83,9,8,AM,,,,,,,,,
84,10,6,AM,,,,,,,,,
85,5,10,AM,,,,,,,,,
85,8,7,AM,,,,,,,,,
85,9,6,AM,,,,,,,,,
85,10,5,AM,,,,,,,,,
87,5,8,AM,,,,,,,,,
87,7,6,AM,,,,,,,,,
88,12,0,AM,,,,,,,,,
90,5,5,AM,,,,,,,,,
90,10,0,AM,,,,,,,,,
92,8,0,AM,,,,,,,,,
75,15,10,AC,,,,,,,,,
60,20,20,CR,,,,,,,,,
70,20,10,CR,,,,,,,,,
75,5,20,CR,,,,,,,,,
80,15,5,CR,,,,,,,,,
85,15,0,CR,,,,,,,,,
94,6,0,CR,,,,,,,,,
25,55,20,AM,,,,,,,,,
Al,Ge,Mn,Phase,,,,,,,,,
50,40,10,AM,,,,,,,,,
42,48,10,AM,,,,,,,,,
57,25,18,AM,,,,,,,,,
69,25,6,AM,,,,,,,,,
73,17,10,AM,,,,,,,,,
60,30,10,AM,,,,,,,,,
65,15,20,QC,,,,,,,,,
Al,Ge,Ni,Phase,,,,,,,,,
59,31,10,AM,,,,,,,,,
62,25,13,AM,,,,,,,,,
64,26,10,AM,,,,,,,,,
69,25,6,AM,,,,,,,,,
60,30,10,AM,,,,,,,,,
Al,Ge,V,Phase,,,,,,,,,
55,30,15,AM,,,,,,,,,
55,35,10,AM,,,,,,,,,
60,25,15,AM,,,,,,,,,
60,30,10,AM  ,,,,,,,,,
65,25,10,AM,,,,,,,,,
45,40,15,CR,,,,,,,,,
50,25,25,CR,,,,,,,,,
50,30,20,CR,,,,,,,,,
50,35,15,CR,,,,,,,,,
50,40,10,CR,,,,,,,,,
55,25,20,CR,,,,,,,,,
60,20,20,CR,,,,,,,,,
60,35,5,CR,,,,,,,,,
65,20,15,CR,,,,,,,,,
65,30,5,CR,,,,,,,,,
70,20,10,CR,,,,,,,,,
70,25,5,CR,,,,,,,,,
75,15,10,CR,,,,,,,,,
52,38,10,AM,,,,,,,,,
57,25,18,AM,,,,,,,,,
68,22,10,AM,,,,,,,,,
69,25,6,AM,,,,,,,,,
Al,Hf,Ni,Phase,,,,,,,,,
10,65,25,AM,,,,,,,,,
Al,La,Mn,Phase,,,,,,,,,
25,55,20,AM,,,,,,,,,
Al,La,Mo,Phase,,,,,,,,,
85,7.5,7.5,AM,,,,,,,,,
Al,La,Nb,Phase,,,,,,,,,
85,7.5,7.5,AM,,,,,,,,,
Al,La,Ni,Phase,,,,,,,,,
0,60,40,AM,,,,,,,,,
0,70,30,AM,,,,,,,,,
5,40,55,AM,,,,,,,,,
5,55,40,AM,,,,,,,,,
5,65,30,AM,,,,,,,,,
5,75,20,AM,,,,,,,,,
10,30,60,AM,,,,,,,,,
10,35,55,AM,,,,,,,,,
10,40,50,AM,,,,,,,,,
10,45,45,AM,,,,,,,,,
10,50,40,AM,,,,,,,,,
10,55,35,AM,,,,,,,,,
10,60,30,AM,,,,,,,,,
10,65,25,AM,,,,,,,,,
10,70,20,AM,,,,,,,,,
10,75,15,AM,,,,,,,,,
10,80,10,AM,,,,,,,,,
15,30,55,AM,,,,,,,,,
15,40,45,AM,,,,,,,,,
15,50,35,AM,,,,,,,,,
15,55,30,AM,,,,,,,,,
15,60,25,AM,,,,,,,,,
15,65,20,AM,,,,,,,,,
15,70,15,AM,,,,,,,,,
15,75,10,AM,,,,,,,,,
15,80,5,AM,,,,,,,,,
20,30,50,AM,,,,,,,,,
20,35,45,AM,,,,,,,,,
20,40,40,AM,,,,,,,,,
20,45,35,AM,,,,,,,,,
20,50,30,AM,,,,,,,,,
20,55,25,AM,,,,,,,,,
20,60,20,AM,,,,,,,,,
20,65,15,AM,,,,,,,,,
20,70,10,AM,,,,,,,,,
20,75,5,AM,,,,,,,,,
20,80,0,AM,,,,,,,,,
25,30,45,AM,,,,,,,,,
25,40,35,AM,,,,,,,,,
25,45,30,AM,,,,,,,,,
25,50,25,AM,,,,,,,,,
25,55,20,AM,,,,,,,,,
25,60,15,AM,,,,,,,,,
25,65,10,AM,,,,,,,,,
25,70,5,AM,,,,,,,,,
30,20,50,AM,,,,,,,,,
30,25,45,AM,,,,,,,,,
30,30,40,AM,,,,,,,,,
30,35,35,AM,,,,,,,,,
30,40,30,AM,,,,,,,,,
30,45,25,AM,,,,,,,,,
30,50,20,AM,,,,,,,,,
30,55,15,AM,,,,,,,,,
30,60,10,AM,,,,,,,,,
30,65,5,AM,,,,,,,,,
35,25,40,AM,,,,,,,,,
35,30,35,AM,,,,,,,,,
35,35,30,AM,,,,,,,,,
35,40,25,AM,,,,,,,,,
35,45,20,AM,,,,,,,,,
35,50,15,AM,,,,,,,,,
35,55,10,AM,,,,,,,,,
35,60,5,AM,,,,,,,,,
40,20,40,AM,,,,,,,,,
40,25,35,AM,,,,,,,,,
40,30,30,AM,,,,,,,,,
40,35,25,AM,,,,,,,,,
40,40,20,AM,,,,,,,,,
40,45,15,AM,,,,,,,,,
40,50,10,AM,,,,,,,,,
40,55,5,AM,,,,,,,,,
40,60,0,AM,,,,,,,,,
45,25,30,AM,,,,,,,,,
45,30,25,AM,,,,,,,,,
45,35,20,AM,,,,,,,,,
45,40,15,AM,,,,,,,,,
45,45,10,AM,,,,,,,,,
50,25,25,AM,,,,,,,,,
50,30,20,AM,,,,,,,,,
50,35,15,AM,,,,,,,,,
50,40,10,AM,,,,,,,,,
50,45,5,AM,,,,,,,,,
50,50,0,AM,,,,,,,,,
55,20,25,AM,,,,,,,,,
55,40,5,AM,,,,,,,,,
55,45,0,AM,,,,,,,,,
60,20,20,AM,,,,,,,,,
65,15,20,AM,,,,,,,,,
70,5,25,AM,,,,,,,,,
75,5,20,AM,,,,,,,,,
75,10,15,AM,,,,,,,,,
80,10,10,AM,,,,,,,,,
85,5,10,AM,,,,,,,,,
85,10,5,AM,,,,,,,,,
90,10,0,AM,,,,,,,,,
10,25,65,AC,,,,,,,,,
15,25,60,AC,,,,,,,,,
20,20,60,AC,,,,,,,,,
40,15,45,AC,,,,,,,,,
50,15,35,AC,,,,,,,,,
55,30,15,AC,,,,,,,,,
90,5,5,AC,,,,,,,,,
0,30,70,CR,,,,,,,,,
0,40,60,CR,,,,,,,,,
0,50,50,CR,,,,,,,,,
0,80,20,CR,,,,,,,,,
0,90,10,CR,,,,,,,,,
10,10,80,CR,,,,,,,,,
10,20,70,CR,,,,,,,,,
10,90,0,CR,,,,,,,,,
20,10,70,CR,,,,,,,,,
30,10,60,CR,,,,,,,,,
30,15,55,CR,,,,,,,,,
40,10,50,CR,,,,,,,,,
50,10,40,CR,,,,,,,,,
55,35,10,CR,,,,,,,,,
60,10,30,CR,,,,,,,,,
60,30,10,CR,,,,,,,,,
60,40,0,CR,,,,,,,,,
65,25,10,CR,,,,,,,,,
65,30,5,CR,,,,,,,,,
70,15,15,CR,,,,,,,,,
70,20,10,CR,,,,,,,,,
70,25,5,CR,,,,,,,,,
70,30,0,CR,,,,,,,,,
75,15,10,CR,,,,,,,,,
80,15,5,CR,,,,,,,,,
80,20,0,CR,,,,,,,,,
25,20,55,AM,,,,,,,,,
30,70,0,AM,,,,,,,,,
50,20,30,AM,,,,,,,,,
84,10,6,AM,,,,,,,,,
88,10,2,AM,,,,,,,,,
91,7,2,AM,,,,,,,,,
85,6,9,AM,,,,,,,,,
88,7,5,AM,,,,,,,,,
0,48,52,AM,,,,,,,,,
0,80,20,AM,,,,,,,,,
1,49,50,AM,,,,,,,,,
1,81,18,AM,,,,,,,,,
2,39,59,AM,,,,,,,,,
2,40,58,AM,,,,,,,,,
2,42,56,AM,,,,,,,,,
2,44,54,AM,,,,,,,,,
2,82,16,AM,,,,,,,,,
3,83,14,AM,,,,,,,,,
4,36,60,AM,,,,,,,,,
5,83,12,AM,,,,,,,,,
5,85,10,AM,,,,,,,,,
6,30,64,AM,,,,,,,,,
6,32,62,AM,,,,,,,,,
6,86,8,AM,,,,,,,,,
8,86,6,AM,,,,,,,,,
9,27,64,AM,,,,,,,,,
10,86,4,AM,,,,,,,,,
11,27,62,AM,,,,,,,,,
11,87,2,AM,,,,,,,,,
13,87,0,AM,,,,,,,,,
15,26,59,AM,,,,,,,,,
17,24,59,AM,,,,,,,,,
19,22,59,AM,,,,,,,,,
21,20,59,AM,,,,,,,,,
24,18,58,AM,,,,,,,,,
26,18,56,AM,,,,,,,,,
28,18,54,AM,,,,,,,,,
30,18,52,AM,,,,,,,,,
32,18,50,AM,,,,,,,,,
34,18,48,AM,,,,,,,,,
36,18,46,AM,,,,,,,,,
38,18,44,AM,,,,,,,,,
40,18,42,AM,,,,,,,,,
42,18,40,AM,,,,,,,,,
44,18,38,AM,,,,,,,,,
46,18,36,AM,,,,,,,,,
48,18,34,AM,,,,,,,,,
50,18,32,AM,,,,,,,,,
53,30,17,AM,,,,,,,,,
53,32,15,AM,,,,,,,,,
53,34,13,AM,,,,,,,,,
53,36,11,AM,,,,,,,,,
53,37,10,AM,,,,,,,,,
54,16,30,AM,,,,,,,,,
55,28,17,AM,,,,,,,,,
55,37,8,AM,,,,,,,,,
56,16,28,AM,,,,,,,,,
56,40,4,AM,,,,,,,,,
56,42,2,AM,,,,,,,,,
57,26,17,AM,,,,,,,,,
57,37,6,AM,,,,,,,,,
57,43,0,AM,,,,,,,,,
58,14,28,AM,,,,,,,,,
59,24,17,AM,,,,,,,,,
60,12,28,AM,,,,,,,,,
61,22,17,AM,,,,,,,,,
62,10,28,AM,,,,,,,,,
63,20,17,AM,,,,,,,,,
64,8,28,AM,,,,,,,,,
65,18,17,AM,,,,,,,,,
66,6,28,AM,,,,,,,,,
67,16,17,AM,,,,,,,,,
68,4,28,AM,,,,,,,,,
69,14,17,AM,,,,,,,,,
71,13,16,AM,,,,,,,,,
72,2,26,AM,,,,,,,,,
73,13,14,AM,,,,,,,,,
74,2,24,AM,,,,,,,,,
75,13,12,AM,,,,,,,,,
76,2,22,AM,,,,,,,,,
77,13,10,AM,,,,,,,,,
78,2,20,AM,,,,,,,,,
79,13,8,AM,,,,,,,,,
80,2,18,AM,,,,,,,,,
81,13,6,AM,,,,,,,,,
82,2,16,AM,,,,,,,,,
83,13,4,AM,,,,,,,,,
84,2,14,AM,,,,,,,,,
85,13,2,AM,,,,,,,,,
86,2,12,AM,,,,,,,,,
86,14,0,AM,,,,,,,,,
87,5,8,AM,,,,,,,,,
88,2,10,AM,,,,,,,,,
88,6,6,AM,,,,,,,,,
89,7,4,AM,,,,,,,,,
90,8,2,AM,,,,,,,,,
92,8,0,AM,,,,,,,,,
91,5,4,AM,,,,,,,,,
Al,La,Pt,Phase,,,,,,,,,
25,55,20,AM,,,,,,,,,
Al,La,Zn,Phase,,,,,,,,,
25,55,20,AM,,,,,,,,,
Al,La,Zr,Phase,,,,,,,,,
85,7.5,7.5,AM,,,,,,,,,
Al,Mg,Pd,Phase,,,,,,,,,
42,44,14,QC,,,,,,,,,
46,40,14,QC,,,,,,,,,
48,22,30,QC,,,,,,,,,
50,36,14,QC,,,,,,,,,
52,18,30,QC,,,,,,,,,
54,32,14,QC,,,,,,,,,
53,21,26,AM,,,,,,,,,
71,17,12,AM  AM,,,,,,,,,
50,25,25,AC,,,,,,,,,
43,44,13,QC,,,,,,,,,
52,17,31,QC,,,,,,,,,
55,15,30,QC,,,,,,,,,
74,5,21,QC,,,,,,,,,
Al,Mg,Pd,Phase,,,,,,,,,
42,45,13,QC,,,,,,,,,
Al,Mg,Ti,Phase,,,,,,,,,
26,18,56,AM,,,,,,,,,
28,22,50,AM,,,,,,,,,
28,27,45,AM,,,,,,,,,
29,13,58,AM,,,,,,,,,
33,6,61,AM,,,,,,,,,
33,13,54,AM,,,,,,,,,
37,10,53,AM,,,,,,,,,
39,7,54,AM,,,,,,,,,
40,12,48,AM,,,,,,,,,
40,18,42,AM,,,,,,,,,
44,7,49,AM,,,,,,,,,
45,2,53,AM,,,,,,,,,
46,0,54,AM,,,,,,,,,
47,9,44,AM,,,,,,,,,
50,15,35,AM,,,,,,,,,
52,10,38,AM,,,,,,,,,
53,15,32,AM,,,,,,,,,
57,0,43,AM,,,,,,,,,
57,7,36,AM,,,,,,,,,
57,11,32,AM,,,,,,,,,
60,11,29,AM,,,,,,,,,
60,12,28,AM,,,,,,,,,
62,0,38,AM,,,,,,,,,
63,3,34,AM,,,,,,,,,
66,0,34,AM,,,,,,,,,
66,5,29,AM,,,,,,,,,
68,0,32,AM,,,,,,,,,
68,12,20,AM,,,,,,,,,
21,27,52,AC,,,,,,,,,
24,28,48,AC,,,,,,,,,
27,30,43,AC,,,,,,,,,
30,27,43,AC,,,,,,,,,
36,0,64,AC,,,,,,,,,
36,15,49,AC,,,,,,,,,
37,20,43,AC,,,,,,,,,
47,17,36,AC,,,,,,,,,
55,18,27,AC,,,,,,,,,
55,23,22,AC,,,,,,,,,
60,13,27,AC,,,,,,,,,
68,13,19,AC,,,,,,,,,
70,3,27,AC,,,,,,,,,
77,3,20,AC,,,,,,,,,
84,0,16,AC,,,,,,,,,
0,0,1,CR,,,,,,,,,
0,52,48,CR,,,,,,,,,
0,77,23,CR,,,,,,,,,
0,83,17,CR,,,,,,,,,
0,1,0,CR,,,,,,,,,
5,60,35,CR,,,,,,,,,
6,66,28,CR,,,,,,,,,
9,41,50,CR,,,,,,,,,
9,51,40,CR,,,,,,,,,
11,22,67,CR,,,,,,,,,
14,46,40,CR,,,,,,,,,
15,31,54,CR,,,,,,,,,
16,23,61,CR,,,,,,,,,
19,46,35,CR,,,,,,,,,
20,36,44,CR,,,,,,,,,
20,39,41,CR,,,,,,,,,
23,17,60,CR,,,,,,,,,
50,22,28,CR,,,,,,,,,
67,33,0,CR,,,,,,,,,
85,15,0,CR,,,,,,,,,
87,0,13,CR,,,,,,,,,
1,0,0,CR,,,,,,,,,
Al,Mg,Zn,Phase,,,,,,,,,
0,60,40,AM,,,,,,,,,
0,65,35,AM,,,,,,,,,
0,70,30,AM,,,,,,,,,
0,75,25,AM,,,,,,,,,
5,50,45,AM,,,,,,,,,
5,60,35,AM,,,,,,,,,
5,65,30,AM,,,,,,,,,
5,70,25,AM,,,,,,,,,
5,75,20,AM,,,,,,,,,
10,65,25,AM,,,,,,,,,
10,70,20,AM,,,,,,,,,
10,75,15,AM,,,,,,,,,
0,55,45,AC,,,,,,,,,
0,80,20,AC,,,,,,,,,
0,85,15,AC,,,,,,,,,
5,80,15,AC,,,,,,,,,
10,80,10,AC,,,,,,,,,
15,70,15,AC,,,,,,,,,
15,75,10,AC,,,,,,,,,
15,80,5,AC,,,,,,,,,
20,70,10,AC,,,,,,,,,
10,40,50,QC,,,,,,,,,
10,50,40,QC,,,,,,,,,
10,60,30,QC,,,,,,,,,
20,40,40,QC,,,,,,,,,
20,50,30,QC,,,,,,,,,
20,60,20,QC,,,,,,,,,
30,40,30,QC,,,,,,,,,
30,50,20,QC,,,,,,,,,
40,40,20,QC,,,,,,,,,
50,40,10,QC,,,,,,,,,
0,90,10,CR,,,,,,,,,
0,95,5,CR,,,,,,,,,
5,85,10,CR,,,,,,,,,
5,90,5,CR,,,,,,,,,
10,85,5,CR,,,,,,,,,
30,60,10,CR,,,,,,,,,
40,50,10,CR,,,,,,,,,
10,80,10,OT,,,,,,,,,
12,53,35,QC,,,,,,,,,
15,43,42,QC,,,,,,,,,
15,45,40,QC,,,,,,,,,
15,48,37,QC,,,,,,,,,
15,50,35,QC,,,,,,,,,
15,53,32,QC,,,,,,,,,
15.4,48.7,35.9,QC,,,,,,,,,
18,17,35,QC,,,,,,,,,
20,45,35,QC,,,,,,,,,
25,37,38,QC,,,,,,,,,
28,37,35,QC,,,,,,,,,
37.5,37.5,25,QC,,,,,,,,,
40,50,10,QC,,,,,,,,,
50,38,12,QC,,,,,,,,,
55,35,10,QC,,,,,,,,,
0,38,62,OT,,,,,,,,,
0,65,35,OT,,,,,,,,,
5,60,35,OT,,,,,,,,,
10,60,30,OT,,,,,,,,,
10,70,20,OT,,,,,,,,,
20,60,20,OT,,,,,,,,,
20,70,10,OT,,,,,,,,,
30,60,10,OT,,,,,,,,,
60,20,20,OT,,,,,,,,,
70,20,10,OT,,,,,,,,,
Al,Mm,Ni,Phase,,,,,,,,,
84,6,10,AM,,,,,,,,,
85,5,10,AM,,,,,,,,,
87.5,4.5,8,CR,,,,,,,,,
88.5,3.5,8,CR,,,,,,,,,
89.5,2.5,8,CR,,,,,,,,,
90.5,1.5,8,CR,,,,,,,,,
92,0,8,CR,,,,,,,,,
86.5,1,12.5,AM,,,,,,,,,
86.5,2,11.5,AM,,,,,,,,,
87,1,12,AM,,,,,,,,,
87,2,11,AM,,,,,,,,,
87,2.5,10.5,AM,,,,,,,,,
